; Runway 11/29
N044.11.46.637 E000.31.05.118 N044.14.47.160 E000.20.41.872
N044.15.03.586 E000.20.52.917 N044.14.30.724 E000.20.34.881
N044.14.18.017 E000.23.27.226 N044.13.44.716 E000.23.08.521
N044.13.32.448 E000.26.02.870 N044.12.58.709 E000.25.44.834
N044.12.47.755 E000.28.39.183 N044.12.14.893 E000.28.19.811
N044.12.02.625 E000.31.12.155 N044.11.28.448 E000.30.54.787
N044.09.10.076 E000.39.54.333 N044.06.08.151 E000.50.13.170
N044.08.53.601 E000.39.46.317 N044.09.26.200 E000.40.04.486
N044.08.08.383 E000.42.20.759 N044.08.40.631 E000.42.39.997
N044.07.22.814 E000.44.54.132 N044.07.55.413 E000.45.13.905
N044.06.37.245 E000.47.29.643 N044.07.09.494 E000.47.48.347
N044.05.52.728 E000.50.04.086 N044.06.24.275 E000.50.21.721
