; Start Clermont - (LFLC) - Freetext
N045.50.00.000:E003.15.00.000:Airspace Bases:3100'
N045.42.00.000:E003.15.00.000:Airspace Bases:4000'
N046.06.00.000:E003.35.50.000:Airspace Bases:4500'
N045.45.00.000:E003.50.00.000:Airspace Bases:6800'
N046.02.00.000:E003.44.00.000:Airspace Bases:6000'
N045.45.25.000:E004.07.53.000:Airspace Bases:4000'
N045.33.00.000:E004.26.00.000:Airspace Bases:4300'
N045.20.00.000:E004.12.00.000:Airspace Bases:5800'
N045.00.00.000:E004.30.00.000:Airspace Bases:6700'
N044.45.00.000:E004.10.00.000:Airspace Bases:8400'
N044.50.00.000:E003.35.00.000:Airspace Bases:7000'
N045.15.00.000:E003.35.00.000:Airspace Bases:6200'
N045.00.00.000:E003.00.00.000:Airspace Bases:6600'
N045.07.00.000:E002.40.00.000:Airspace Bases:8800'
N045.20.00.000:E002.40.00.000:Airspace Bases:7800'
N045.30.00.000:E003.15.00.000:Airspace Bases:6500'
N046.15.00.000:E003.30.00.000:Airspace Bases:3500'
N046.30.00.000:E004.00.00.000:Airspace Bases:4900'
N045.39.50.000:E003.48.00.000:Airspace Bases:7600'
N045.32.00.000:E002.50.00.000:Airspace Bases:8700'
; End Clermont - (LFLC) - Freetext
