; Start Clermont - (LFLC) - Labels
; Holding Points
"C5" N045.47.08.802 E003.09.02.641 smrStandText
"C4" N045.47.09.792 E003.09.11.193 smrStandText
"C3" N045.47.13.025 E003.09.40.672 smrStandText
"C2" N045.47.21.934 E003.11.19.268 smrStandText
"D4" N045.47.02.664 E003.09.13.507 smrStandText
"D3" N045.47.06.162 E003.09.44.092 smrStandText
"D2" N045.47.11.705 E003.10.42.445 smrStandText
"D1" N045.47.15.467 E003.11.20.777 smrStandText
"T3" N045.47.03.654 E003.09.36.949 smrStandText
"T2" N045.47.07.086 E003.10.14.375 smrStandText
"T1" N045.47.12.101 E003.11.05.485 smrStandText
"X" N045.47.09.591 E003.10.46.621 smrStandText
"X" N045.47.09.937 E003.10.50.412 smrStandText
"X" N045.47.10.347 E003.10.54.665 smrStandText
"X" N045.47.10.737 E003.10.58.852 smrStandText
"X" N045.47.11.212 E003.11.02.940 smrStandText
"X" N045.47.11.537 E003.11.06.599 smrStandText
"X" N045.47.11.883 E003.11.10.126 smrStandText
"X" N045.47.12.358 E003.11.14.775 smrStandText
"X" N045.47.12.423 E003.11.17.511 smrStandText
"X" N045.47.12.380 E003.11.18.995 smrStandText
"X" N045.47.12.553 E003.11.19.852 smrStandText
"X" N045.47.13.137 E003.11.20.940 smrStandText
; Aprons
"Atelier Industriel" N045.46.48.646 E003.10.02.533 smrStandText
"INDIA" N045.46.51.203 E003.09.06.444 smrStandText
"ECHO" N045.47.02.340 E003.10.08.695 smrStandText
"PAPA" N045.47.22.632 E003.09.43.417 smrStandText
"SIERRA" N045.47.20.652 E003.09.23.296 smrStandText
"ALPHA" N045.47.27.004 E003.09.23.547 smrStandText
"Fret" N045.47.27.582 E003.09.53.101 smrStandText
"Terminal" N045.47.25.932 E003.09.35.620 smrStandText
"Terminal Affaires" N045.47.29.891 E003.09.28.703 smrStandText
; End Clermont - (LFLC) - Labels
