; Start Lyon - (LFLL) - Freetext
N045.48.16.000:E004.57.22.800:Airspace Bases:2500'
N045.33.11.000:E005.09.00.700:Airspace Bases:3000'
N045.21.44.399:E005.00.56.000:Airspace Bases:3300'
N046.17.37.000:E004.59.07.001:Airspace Bases:3400'
N046.21.48.000:E005.34.55.000:Airspace Bases:6000'
N045.23.05.000:E006.13.19.000:Airspace Bases:12700'
N045.56.37.000:E005.33.21.000:Airspace Bases:6100'
N046.08.04.808:E005.24.50.861:Airspace Bases:5000'
N044.49.00.000:E005.03.00.000:Airspace Bases:7500'
N045.15.00.000:E005.47.05.000:Airspace Bases:10100'
N045.15.00.000:E005.29.00.000:Airspace Bases:8400'
N045.20.00.000:E005.41.00.000:Airspace Bases:9200'
N045.10.00.000:E004.49.57.000:Airspace Bases:4000'
N045.25.00.000:E004.39.00.000:Airspace Bases:6300'
N045.00.00.000:E004.11.00.000:Airspace Bases:8500'
N045.12.13.801:E004.20.04.999:Airspace Bases:6800'
N045.50.30.000:E004.06.00.000:Airspace Bases:5000'
; End Lyon - (LFLL) - Freetext
