; CTR BRON | SFC  2500ft | Class D 	 
LFLY Bron CTR          N045.51.52.000 E004.56.43.000 N045.48.00.000 E005.00.00.000
LFLY Bron CTR          N045.48.00.000 E005.00.00.000 N045.44.32.000 E005.00.07.000
LFLY Bron CTR          N045.44.32.000 E005.00.07.000 N045.34.13.000 E005.03.31.000
LFLY Bron CTR          N045.34.13.000 E005.03.31.000 N045.33.57.665 E005.01.16.412
LFLY Bron CTR          N045.33.57.665 E005.01.16.412 N045.33.35.765 E004.59.05.360
LFLY Bron CTR          N045.33.35.765 E004.59.05.360 N045.33.07.000 E004.58.18.000
LFLY Bron CTR          N045.33.07.000 E004.58.18.000 N045.50.40.000 E004.50.34.000
LFLY Bron CTR          N045.50.40.000 E004.50.34.000 N045.50.35.277 E004.51.39.058
LFLY Bron CTR          N045.50.35.277 E004.51.39.058 N045.51.04.145 E004.53.18.671
LFLY Bron CTR          N045.51.04.145 E004.53.18.671 N045.51.21.757 E004.55.03.512
LFLY Bron CTR          N045.51.21.757 E004.55.03.512 N045.51.52.000 E004.56.43.000
