; Start Provence - (LFML) - Freetext
N043.00.20.117:E005.00.59.745:Airspace Bases:3500'
N043.18.13.466:E005.56.21.766:Airspace Bases:6000'
N043.28.58.208:E005.37.46.298:Airspace Bases:5000'
N043.29.45.831:E005.29.38.662:Airspace Bases:3600'
N043.22.18.908:E005.22.07.599:Airspace Bases:2200'
N043.23.13.857:E005.10.20.526:Airspace Bases:1700'
N043.16.08.914:E004.56.01.068:Airspace Bases:2000'
N043.56.37.686:E004.53.04.300:Airspace Bases:2000'
N043.56.19.370:E004.38.08.268:Airspace Bases:3000'
N044.04.33.916:E004.26.45.578:Airspace Bases:4300'
N044.14.38.362:E004.48.11.718:Airspace Bases:5500'
N044.07.18.765:E005.10.44.908:Airspace Bases:9200'
N043.56.59.666:E005.05.52.326:Airspace Bases:4300'
N043.48.56.110:E005.08.49.094:Airspace Bases:4000'
N043.48.04.823:E005.20.42.262:Airspace Bases:5000'
; End Provence - (LFML) - Freetext
