; CTR PERPIGNAN | SFC  2000ft | Class D	 	 	 
LFMP Perpignan CTR     N042.52.33.000 E002.55.45.000 N042.41.12.000 E003.00.00.000
LFMP Perpignan CTR     N042.41.12.000 E003.00.00.000 N042.40.55.039 E002.59.44.415
LFMP Perpignan CTR     N042.40.55.039 E002.59.44.415 N042.40.05.018 E002.58.46.166
LFMP Perpignan CTR     N042.40.05.018 E002.58.46.166 N042.39.22.306 E002.57.37.964
LFMP Perpignan CTR     N042.39.22.306 E002.57.37.964 N042.38.47.948 E002.56.21.491
LFMP Perpignan CTR     N042.38.47.948 E002.56.21.491 N042.38.22.788 E002.54.58.627
LFMP Perpignan CTR     N042.38.22.788 E002.54.58.627 N042.38.07.441 E002.53.31.414
LFMP Perpignan CTR     N042.38.07.441 E002.53.31.414 N042.38.02.283 E002.52.02.000
LFMP Perpignan CTR     N042.38.02.283 E002.52.02.000 N042.38.02.000 E002.51.33.000
LFMP Perpignan CTR     N042.38.02.000 E002.51.33.000 N042.48.50.000 E002.42.26.000
LFMP Perpignan CTR     N042.48.50.000 E002.42.26.000 N042.49.43.609 E002.43.13.526
LFMP Perpignan CTR     N042.49.43.609 E002.43.13.526 N042.50.40.924 E002.44.20.096
LFMP Perpignan CTR     N042.50.40.924 E002.44.20.096 N042.51.29.888 E002.45.38.041
LFMP Perpignan CTR     N042.51.29.888 E002.45.38.041 N042.52.09.289 E002.47.05.439
LFMP Perpignan CTR     N042.52.09.289 E002.47.05.439 N042.52.38.150 E002.48.40.141
LFMP Perpignan CTR     N042.52.38.150 E002.48.40.141 N042.52.55.758 E002.50.19.812
LFMP Perpignan CTR     N042.52.55.758 E002.50.19.812 N042.53.01.676 E002.52.02.000
LFMP Perpignan CTR     N042.53.01.676 E002.52.02.000 N042.52.55.758 E002.53.44.188
LFMP Perpignan CTR     N042.52.55.758 E002.53.44.188 N042.52.38.150 E002.55.23.860
LFMP Perpignan CTR     N042.52.38.150 E002.55.23.860 N042.52.33.000 E002.55.45.000
