; Start Le Bourget - (LFPB) - Labels
; Holding Points
"U1" N048.56.57.289 E002.25.31.772 smrStandText
"U1" N048.57.06.462 E002.25.30.866 smrStandText
"U11" N048.57.11.610 E002.25.29.860 smrStandText
"U21" N048.57.23.026 E002.25.40.625 smrStandText
"U2" N048.57.30.022 E002.25.47.366 smrStandText
"A" N048.57.33.057 E002.25.57.326 smrStandText
"R" N048.57.36.489 E002.25.58.433 smrStandText
"U3" N048.57.38.600 E002.25.53.503 smrStandText
"A" N048.57.40.514 E002.25.40.827 smrStandText
"A1" N048.57.47.443 E002.25.29.659 smrStandText
"A" N048.57.46.982 E002.25.14.366 smrStandText
"R" N048.57.47.987 E002.25.54.261 smrStandText
"R1" N048.57.57.952 E002.25.51.544 smrStandText
"P3" N048.57.57.754 E002.26.13.477 smrStandText
"P2" N048.57.59.602 E002.26.27.562 smrStandText
"C4" N048.58.05.673 E002.26.31.587 smrStandText
"B1" N048.58.09.368 E002.26.35.007 smrStandText
"B" N048.58.09.170 E002.26.51.105 smrStandText
"B" N048.58.16.100 E002.27.17.665 smrStandText
"P1" N048.58.04.089 E002.26.56.839 smrStandText
"W4" N048.58.01.977 E002.27.02.574 smrStandText
"W4" N048.57.53.200 E002.26.56.538 smrStandText
"W3" N048.57.52.540 E002.26.43.257 smrStandText
"C" N048.56.54.154 E002.25.41.509 smrStandText
"C1" N048.57.09.794 E002.25.52.274 smrStandText
"C2" N048.57.30.251 E002.26.06.661 smrStandText
"C3" N048.57.44.638 E002.26.16.420 smrStandText
; Taxiways
"S" N048.56.48.412 E002.25.45.131 smrStandText
"G1" N048.56.56.199 E002.25.52.274 smrStandText
"G2" N048.57.02.469 E002.25.56.801 smrStandText
"V2" N048.57.12.302 E002.26.01.832 smrStandText
"V2" N048.57.22.002 E002.26.08.774 smrStandText
"L2" N048.57.15.139 E002.26.08.271 smrStandText
"C11" N048.57.06.309 E002.26.03.834 smrStandText
"W1" N048.57.08.104 E002.26.12.687 smrStandText
"W1" N048.57.11.642 E002.26.15.826 smrStandText
"W1" N048.57.15.971 E002.26.19.287 smrStandText
"W1" N048.57.20.511 E002.26.22.990 smrStandText
"W2" N048.57.29.893 E002.26.29.427 smrStandText
"W2" N048.57.36.389 E002.26.34.300 smrStandText
"W2" N048.57.41.441 E002.26.37.601 smrStandText
"W2" N048.57.45.463 E002.26.40.116 smrStandText
"C22" N048.57.26.634 E002.26.19.426 smrStandText
"J" N048.57.24.325 E002.26.14.596 smrStandText
"J" N048.57.22.939 E002.26.19.727 smrStandText
"N" N048.57.18.847 E002.26.17.615 smrStandText
"L1" N048.57.14.294 E002.26.14.596 smrStandText
"V3" N048.57.31.211 E002.26.15.544 smrStandText
"V3" N048.57.38.603 E002.26.20.373 smrStandText
"F3" N048.57.32.521 E002.26.23.335 smrStandText
"E" N048.57.38.983 E002.26.27.327 smrStandText
"V4" N048.57.44.727 E002.26.30.869 smrStandText
"D" N048.57.42.235 E002.26.46.837 smrStandText
"W5" N048.57.47.556 E002.26.46.194 smrStandText
"M" N048.57.47.092 E002.26.56.238 smrStandText
"X" N048.57.44.811 E002.26.24.816 smrStandText
"X" N048.57.47.979 E002.26.27.005 smrStandText
"X" N048.57.49.204 E002.26.29.195 smrStandText
"X" N048.57.50.048 E002.26.35.376 smrStandText
"X" N048.57.50.935 E002.26.41.493 smrStandText
"H5" N048.57.01.142 E002.26.14.371 smrStandText
"H4" N048.57.03.914 E002.26.16.585 smrStandText
"H3" N048.57.06.356 E002.26.18.899 smrStandText
"H2" N048.57.08.732 E002.26.20.508 smrStandText
"H1" N048.57.11.239 E002.26.22.822 smrStandText
"H0" N048.57.15.397 E002.26.26.142 smrStandText
"K" N048.57.19.686 E002.26.25.941 smrStandText
"I" N048.57.26.549 E002.26.30.670 smrStandText
"F2" N048.57.31.961 E002.26.34.493 smrStandText
"F1" N048.57.35.722 E002.26.37.008 smrStandText
; End Le Bourget - (LFPB) - Labels
