PG082 N049.00.25.600 E002.46.11.100
PG084 N049.00.35.701 E002.49.26.602
PG086 N049.00.54.500 E002.55.36.502
PG088 N048.59.19.201 E002.57.23.000
PG092 N049.01.52.799 E002.42.54.101
PG094 N049.02.29.699 E002.55.41.700
PG095 N049.02.46.000 E003.00.18.500
PG098 N049.01.18.800 E002.21.29.700
PG100 N048.56.31.099 E003.00.34.600
PG101 N048.50.22.099 E002.37.23.002
PG102 N048.43.14.599 E002.35.24.698
PG264 N048.59.03.800 E002.20.47.000
PG265 N048.58.29.600 E002.10.37.999
PG266 N048.58.16.201 E002.06.44.399
PG267 N048.58.06.398 E002.03.53.500
PG268 N048.57.52.301 E001.59.52.699
PG270 N049.00.55.300 E002.24.59.800
PG272 N049.00.44.399 E002.21.40.799
PG274 N049.05.41.201 E002.20.28.399
PG276 N049.07.03.202 E002.19.10.301
PG278 N049.05.34.400 E002.40.15.600
PG280 N049.02.17.902 E002.08.47.900
PG282 N049.04.58.102 E002.07.56.201
PG284 N049.03.52.600 E001.37.43.399
PG286 N048.57.29.902 E001.53.33.299
PG289 N048.49.06.701 E002.11.12.001
PG290 N049.04.09.901 E002.21.54.000
PG410 N048.58.16.500 E002.06.44.899
PG412 N049.01.19.099 E003.03.46.699
PG413 N049.01.34.601 E003.09.03.301
PG420 N048.58.09.599 E002.08.22.999
PG422 N049.00.22.601 E002.49.12.900
PG423 N049.00.52.099 E003.03.49.201
PG424 N049.01.01.301 E003.08.38.101
PG431 N049.00.46.300 E002.52.52.399
PG432 N048.58.37.801 E002.12.58.799
PG433 N049.00.06.401 E002.10.44.699
PG435 N049.01.11.100 E003.01.08.000
PG441 N049.00.58.601 E003.01.08.000
PG442 N048.58.26.299 E002.13.16.100
PG443 N049.00.06.401 E002.10.44.699
PG501 N049.10.35.900 E002.22.13.400
PG502 N049.06.16.600 E002.23.12.700
PG503 N048.54.58.799 E002.27.34.600
PG510 N048.54.09.101 E002.12.49.799
PG515 N048.54.58.399 E002.27.33.901
PG516 N048.55.06.701 E002.39.41.602
PG520 N049.16.28.200 E003.19.33.499
PG522 N048.47.04.200 E003.24.45.799
PG527 N049.10.11.600 E001.50.22.200
PG528 N049.21.31.000 E002.32.01.000
PG534 N049.15.42.199 E002.23.16.699
PG536 N049.13.54.098 E002.42.54.000
PG552 N048.59.56.800 E001.57.14.501
PG554 N049.09.35.798 E002.06.51.199
PG556 N048.52.40.800 E001.59.44.902
PG560 N049.12.05.000 E002.58.04.400
PG562 N049.06.53.701 E003.08.41.302
PG564 N048.57.02.002 E003.16.01.600
PG566 N048.52.15.499 E002.43.47.201
PG568 N048.53.06.000 E003.00.23.000
PG650 N049.02.59.798 E003.00.44.899
PG651 N049.01.14.300 E002.26.58.402
PG652 N049.03.47.498 E002.16.10.499
PG660 N049.02.47.400 E003.00.47.099
PG661 N049.01.01.600 E002.26.55.100
PG670 N049.00.04.702 E002.06.17.600
PG671 N049.02.00.499 E002.41.23.600
PG672 N049.09.29.599 E002.56.01.100
PG680 N048.59.49.801 E002.05.35.099
PG681 N049.01.46.700 E002.40.56.600
PGS06 N049.00.27.331 E002.46.58.058
