; Start Nimes - (LFTW) - Labels
; Taxiways
"J" N043.45.49.805 E004.25.01.252 smrStandText
"G" N043.45.39.775 E004.25.02.218 smrStandText
"F" N043.45.24.887 E004.25.03.711 smrStandText

"N" N043.45.52.287 E004.25.08.455
"CC" N043.45.43.998 E004.25.08.279
"E" N043.46.06.647 E004.24.48.514
"E1" N043.46.03.162 E004.24.49.129
"D" N043.45.50.175 E004.24.52.204
"C" N043.45.32.172 E004.24.53.873
"B" N043.45.05.871 E004.24.55.777
"A1" N043.44.50.275 E004.24.55.579
"A" N043.44.46.086 E004.24.55.847
"E2" N043.45.57.027 E004.24.47.861
"E3" N043.45.38.879 E004.24.49.371
"A3" N043.45.16.524 E004.24.50.881
"A2" N043.44.57.304 E004.24.52.391
"K14" N043.44.57.109 E004.24.50.306
"K12" N043.45.01.079 E004.24.49.814
"K11" N043.45.04.880 E004.24.49.533
"K10" N043.45.07.668 E004.24.49.393
"K9" N043.45.10.244 E004.24.49.182
"K8" N043.45.12.313 E004.24.48.971
"K7" N043.45.14.341 E004.24.48.901
"K6" N043.45.16.283 E004.24.48.620
"K5" N043.45.18.691 E004.24.48.339
"K4" N043.45.21.098 E004.24.48.198
"K3" N043.45.24.266 E004.24.47.987
"K2" N043.45.25.998 E004.24.48.058
"K1" N043.45.27.983 E004.24.47.776
"Securite Civile" N043.45.26.124 E004.25.26.990
"Aire D'entretien" N043.45.43.779 E004.25.09.773
; End Nimes - (LFTW) - Labels
