Coastline (Low Detail) N00.00.00.000 w000.00.00.000 N00.00.00.000 w000.00.00.000
N044.02.52.299 E009.49.50.801 N044.08.19.399 E009.40.23.800
N044.08.19.399 E009.40.23.800 N044.08.40.498 E009.38.47.800
N044.08.40.498 E009.38.47.800 N044.08.10.499 E009.37.59.901
N044.08.10.499 E009.37.59.901 N044.10.19.300 E009.36.11.800
N044.10.19.300 E009.36.11.800 N044.10.52.298 E009.34.20.899
N044.10.52.298 E009.34.20.899 N044.14.10.499 E009.29.32.899
N044.14.10.499 E009.29.32.899 N044.14.13.498 E009.26.30.001
N044.14.13.498 E009.26.30.001 N044.15.28.501 E009.25.17.800
N044.15.28.501 E009.25.17.800 N044.15.40.499 E009.24.80.899
N044.15.40.499 E009.24.80.899 N044.17.22.499 E009.22.35.800
N044.17.22.499 E009.22.35.800 N044.20.49.498 E009.14.00.100
N044.20.49.498 E009.14.00.100 N044.17.55.499 E009.12.53.999
N044.17.55.499 E009.12.53.999 N044.18.58.399 E009.09.50.800
N044.18.58.399 E009.09.50.800 N044.20.47.900 E009.09.70.498
N044.20.47.900 E009.09.70.498 N044.21.58.399 E009.07.80.900
N044.21.58.399 E009.07.80.900 N044.23.46.298 E008.55.50.902
N044.23.46.298 E008.55.50.902 N044.24.46.400 E008.55.32.999
N044.24.46.400 E008.55.32.999 N044.23.58.401 E008.55.00.098
N044.23.58.401 E008.55.00.098 N044.25.31.300 E008.49.54.098
N044.25.31.300 E008.49.54.098 N044.25.37.599 E008.44.51.101
N044.25.37.599 E008.44.51.101 N044.19.25.399 E008.29.57.001
N044.19.25.399 E008.29.57.001 N044.16.41.902 E008.26.40.498
N044.16.41.902 E008.26.40.498 N044.15.38.902 E008.27.28.598
N044.15.38.902 E008.27.28.598 N044.13.20.999 E008.25.40.501
N044.13.20.999 E008.25.40.501 N044.11.44.999 E008.25.40.300
N044.11.44.999 E008.25.40.300 N044.08.28.399 E008.16.23.998
N044.08.28.399 E008.16.23.998 N044.05.17.801 E008.13.52.499
N044.05.17.801 E008.13.52.499 N044.02.38.900 E008.13.40.501
N044.02.38.900 E008.13.40.501 N044.00.20.901 E008.10.13.598
N044.00.20.901 E008.10.13.598 N043.57.44.899 E008.10.55.301
N043.57.44.899 E008.10.55.301 N043.55.22.299 E008.05.59.999
N043.55.22.299 E008.05.59.999 N043.53.55.399 E008.05.00.100
N043.53.55.399 E008.05.00.100 N043.53.37.399 E008.02.42.101
N043.53.37.399 E008.02.42.101 N043.54.28.501 E008.02.21.001
N043.54.28.501 E008.02.21.001 N043.52.40.400 E008.01.29.798
N043.52.40.400 E008.01.29.798 N043.51.13.399 E007.57.56.699
N043.51.13.399 E007.57.56.699 N043.49.55.599 E007.50.50.701
N043.49.55.599 E007.50.50.701 N043.49.10.599 E007.49.59.699
N043.49.10.599 E007.49.59.699 N043.49.19.599 E007.47.80.800
N043.49.19.599 E007.47.80.800 N043.47.46.399 E007.44.26.498
N043.47.46.399 E007.44.26.498 N043.47.55.600 E007.41.53.699
N043.47.55.600 E007.41.53.699 N043.46.43.500 E007.40.32.599
N043.46.43.500 E007.40.32.599 N043.47.40.499 E007.34.35.602
N043.47.40.499 E007.34.35.602 N043.47.10.499 E007.30.38.699
N043.47.10.499 E007.30.38.699 N043.45.10.598 E007.29.11.699
N043.45.10.598 E007.29.11.699 N043.45.40.600 E007.27.17.701
N043.45.40.600 E007.27.17.701 N043.43.19.498 E007.24.23.602
N043.43.19.498 E007.24.23.602 N043.43.19.599 E007.21.80.600
N043.43.19.599 E007.21.80.600 N043.42.15.001 E007.19.49.299
N043.42.15.001 E007.19.49.299 N043.41.21.001 E007.20.55.201
N043.41.21.001 E007.20.55.201 N043.40.40.400 E007.19.41.699
N043.40.40.400 E007.19.41.699 N043.42.31.399 E007.18.47.801
N043.42.31.399 E007.18.47.801 N043.41.19.499 E007.18.14.699
N043.41.19.499 E007.18.14.699 N043.41.55.499 E007.17.20.698
N043.41.55.499 E007.17.20.698 N043.41.22.402 E007.14.11.799
N043.41.22.402 E007.14.11.799 N043.39.19.501 E007.12.80.701
N043.39.19.501 E007.12.80.701 N043.41.16.598 E007.11.14.701
N043.41.16.598 E007.11.14.701 N043.39.33.001 E007.11.52.400
N043.39.33.001 E007.11.52.400 N043.39.19.501 E007.09.20.800
N043.39.19.501 E007.09.20.800 N043.36.45.100 E007.07.37.301
N043.36.45.100 E007.07.37.301 N043.32.52.501 E007.08.14.500
N043.32.52.501 E007.08.14.500 N043.32.37.399 E007.07.11.600
N043.32.37.399 E007.07.11.600 N043.34.10.402 E007.06.47.498
N043.34.10.402 E007.06.47.498 N043.34.19.301 E007.05.80.699
N043.34.19.301 E007.05.80.699 N043.32.19.500 E007.02.14.798
N043.32.19.500 E007.02.14.798 N043.33.70.402 E007.01.11.798
N043.33.70.402 E007.01.11.798 N043.32.43.501 E006.57.47.800
N043.32.43.501 E006.57.47.800 N043.30.56.999 E006.56.10.399
N043.30.56.999 E006.56.10.399 N043.29.57.001 E006.57.16.402
N043.29.57.001 E006.57.16.402 N043.25.49.598 E006.53.30.001
N043.25.49.598 E006.53.30.001 N043.26.70.501 E006.51.35.798
N043.26.70.501 E006.51.35.798 N043.24.49.500 E006.51.14.900
N043.24.49.500 E006.51.14.900 N043.24.37.400 E006.47.23.798
N043.24.37.400 E006.47.23.798 N043.25.28.498 E006.45.80.899
N043.25.28.498 E006.45.80.899 N043.22.29.899 E006.42.46.501
N043.22.29.899 E006.42.46.501 N043.20.52.300 E006.42.53.899
N043.20.52.300 E006.42.53.899 N043.20.25.400 E006.40.32.699
N043.20.25.400 E006.40.32.699 N043.18.52.498 E006.40.18.001
N043.18.52.498 E006.40.18.001 N043.16.34.399 E006.34.44.900
N043.16.34.399 E006.34.44.900 N043.16.40.400 E006.39.50.800
N043.16.40.400 E006.39.50.800 N043.16.52.500 E006.40.41.999
N043.16.52.500 E006.40.41.999 N043.16.12.000 E006.41.52.501
N043.16.12.000 E006.41.52.501 N043.14.39.001 E006.39.52.402
N043.14.39.001 E006.39.52.402 N043.12.50.900 E006.40.46.401
N043.12.50.900 E006.40.46.401 N043.11.25.501 E006.38.35.999
N043.11.25.501 E006.38.35.999 N043.10.13.400 E006.38.41.798
N043.10.13.400 E006.38.41.798 N043.09.40.399 E006.37.80.900
N043.09.40.399 E006.37.80.900 N043.11.13.401 E006.35.47.900
N043.11.13.401 E006.35.47.900 N043.11.25.300 E006.33.20.901
N043.11.25.300 E006.33.20.901 N043.09.13.500 E006.29.48.001
N043.09.13.500 E006.29.48.001 N043.09.70.599 E006.24.80.899
N043.09.70.599 E006.24.80.899 N043.08.11.900 E006.21.58.601
