; Start Marseille - (LFMM) - Regions
;LFMM_Water
REGIONNAME Marseille Waters
smrWater N041.17.40.840 E007.01.32.494
N040.59.55.746 E007.59.53.307
N041.19.58.680 E008.19.45.536
N041.20.01.261 E009.17.50.530
N041.20.18.457 E009.18.07.110
N041.20.35.683 E009.18.17.112
N041.21.00.295 E009.18.30.464
N041.21.24.953 E009.18.33.945
N041.21.49.596 E009.18.40.721
N041.22.24.108 E009.18.47.578
N041.22.41.379 E009.18.47.715
N041.23.06.052 E009.18.47.913
N041.23.25.791 E009.18.48.072
N041.23.47.996 E009.18.48.252
N041.24.17.604 E009.18.48.494
N041.24.32.408 E009.18.48.615
N041.24.52.161 E009.18.45.484
N041.24.59.563 E009.18.45.545
N041.25.06.994 E009.18.39.017
N041.25.21.827 E009.18.32.549
N041.25.34.192 E009.18.26.061
N041.25.46.571 E009.18.16.278
N041.26.08.888 E009.17.50.099
N041.26.18.798 E009.17.40.294
N041.26.26.240 E009.17.30.469
N041.26.33.669 E009.17.23.938
N041.26.43.618 E009.17.04.247
N041.26.48.619 E009.16.47.811
N041.26.48.632 E009.16.44.516
N041.26.56.098 E009.16.28.099
N041.26.58.642 E009.16.08.349
N041.27.01.135 E009.16.01.779
N041.27.01.186 E009.15.48.600
N041.27.03.715 E009.15.32.146
N041.26.53.934 E009.15.09.011
N041.26.46.594 E009.14.52.486
N041.26.36.751 E009.14.45.825
N041.26.24.416 E009.14.45.735
N041.26.12.106 E009.14.39.058
N041.26.04.730 E009.14.32.417
N041.25.54.899 E009.14.22.468
N041.25.52.481 E009.14.09.279
N041.25.45.129 E009.13.56.057
N041.25.40.220 E009.13.49.438
N041.25.20.487 E009.13.49.300
N041.25.15.542 E009.13.52.557
N041.25.05.663 E009.13.55.780
N041.24.58.251 E009.13.59.020
N041.24.53.269 E009.14.12.152
N041.24.53.207 E009.14.28.611
N041.24.58.115 E009.14.35.230
N041.25.05.465 E009.14.48.452
N041.25.10.361 E009.14.58.365
N041.25.17.698 E009.15.14.882
N041.25.20.088 E009.15.34.657
N041.25.20.050 E009.15.44.536
N041.25.15.038 E009.16.04.257
N041.25.10.078 E009.16.10.806
N041.25.00.210 E009.16.10.731
N041.24.45.435 E009.16.04.033
N041.24.35.620 E009.15.50.789
N041.24.23.338 E009.15.37.529
N041.24.18.444 E009.15.27.616
N041.24.13.536 E009.15.20.996
N041.23.58.788 E009.15.07.723
N041.23.48.947 E009.15.01.069
N041.23.31.732 E009.14.47.783
N041.23.21.917 E009.14.34.550
N041.23.19.463 E009.14.31.243
N041.23.09.635 E009.14.21.303
N041.23.02.273 E009.14.11.382
N041.22.52.471 E009.13.54.865
N041.22.47.550 E009.13.51.542
N041.22.37.684 E009.13.51.475
N041.22.22.885 E009.13.51.376
N041.22.13.032 E009.13.48.021
N041.22.05.658 E009.13.41.394
N041.21.58.296 E009.13.31.478
N041.21.55.879 E009.13.18.307
N041.21.53.475 E009.13.01.848
N041.21.53.536 E009.12.45.406
N041.21.48.652 E009.12.32.221
N041.21.43.743 E009.12.25.614
N041.21.38.859 E009.12.12.431
N041.21.38.918 E009.11.55.992
N041.21.41.489 E009.11.26.418
N041.21.41.524 E009.11.16.555
N041.21.44.024 E009.11.06.708
N041.21.48.979 E009.11.00.162
N041.21.58.867 E009.10.53.645
N041.22.08.731 E009.10.53.703
N041.22.23.528 E009.10.53.791
N041.22.33.415 E009.10.47.274
N041.22.43.290 E009.10.44.044
N041.22.45.801 E009.10.30.906
N041.22.50.787 E009.10.14.495
N041.22.55.773 E009.09.58.084
N041.22.58.271 E009.09.48.234
N041.22.58.323 E009.09.31.794
N041.22.58.365 E009.09.18.643
N041.23.00.872 E009.09.05.506
N041.23.03.389 E009.08.49.081
N041.23.03.429 E009.08.35.931
N041.23.05.935 E009.08.22.794
N041.23.13.362 E009.08.12.971
N041.23.13.411 E009.07.56.533
N041.23.15.896 E009.07.49.971
N041.23.28.254 E009.07.40.173
N041.23.35.679 E009.07.30.348
N041.23.35.736 E009.07.10.622
N041.23.35.782 E009.06.54.184
N041.23.35.818 E009.06.41.035
N041.23.33.388 E009.06.27.873
N041.23.26.027 E009.06.14.688
N041.23.26.062 E009.06.01.539
N041.23.28.571 E009.05.45.115
N041.23.28.614 E009.05.28.680
N041.23.36.028 E009.05.22.140
N041.23.48.365 E009.05.18.909
N041.24.03.150 E009.05.22.265
N041.24.08.073 E009.05.25.575
N041.24.20.394 E009.05.28.920
N041.24.32.705 E009.05.35.554
N041.24.42.551 E009.05.42.176
N041.24.47.449 E009.05.55.353
N041.24.52.346 E009.06.08.530
N041.25.02.192 E009.06.15.155
N041.25.12.055 E009.06.15.203
N041.25.19.461 E009.06.11.951
N041.25.24.428 E009.05.58.819
N041.25.26.928 E009.05.45.676
N041.25.41.714 E009.05.49.036
N041.25.46.629 E009.05.55.638
N041.25.59.589 E009.06.42.160
N041.25.59.578 E009.06.45.455
N041.26.01.990 E009.07.01.937
N041.26.09.425 E009.06.55.375
N041.26.11.952 E009.06.38.911
N041.26.11.998 E009.06.25.733
N041.26.12.009 E009.06.22.439
N041.26.14.535 E009.06.05.976
N041.26.26.907 E009.05.59.432
N041.26.36.798 E009.05.56.173
N041.26.41.770 E009.05.46.308
N041.26.36.873 E009.05.33.113
N041.26.36.926 E009.05.16.642
N041.26.36.977 E009.05.00.173
N041.26.37.018 E009.04.46.997
N041.26.42.008 E009.04.30.545
N041.26.44.507 E009.04.20.672
N041.26.47.035 E009.04.00.919
N041.26.56.913 E009.04.00.952
N041.27.11.729 E009.04.01.001
N041.27.28.976 E009.04.14.234
N041.27.31.445 E009.04.14.243
N041.27.53.628 E009.04.27.496
N041.27.56.097 E009.04.27.504
N041.28.01.064 E009.04.17.638
N041.27.56.174 E009.04.01.150
N041.27.56.202 E009.03.51.267
N041.27.41.453 E009.03.28.161
N041.27.34.073 E009.03.18.255
N041.27.24.233 E009.03.05.050
N041.27.19.330 E009.02.51.861
N041.27.16.887 E009.02.41.973
N041.27.36.639 E009.02.42.034
N041.27.36.674 E009.02.28.861
N041.27.29.309 E009.02.12.372
N041.27.24.413 E009.01.55.892
N041.27.24.445 E009.01.42.721
N041.27.24.461 E009.01.36.135
N041.27.29.423 E009.01.26.271
N041.27.46.713 E009.01.23.027
N041.27.56.595 E009.01.19.763
N041.28.04.017 E009.01.13.198
N041.28.04.070 E009.00.50.147
N041.28.04.084 E009.00.43.561
N041.28.16.441 E009.00.37.009
N041.28.21.407 E009.00.23.851
N041.28.18.967 E009.00.10.672
N041.28.33.791 E009.00.04.126
N041.28.38.734 E009.00.00.847
N041.28.33.825 E008.59.47.662
N041.28.23.972 E008.59.37.757
N041.28.23.999 E008.59.24.586
N041.28.26.493 E008.59.11.421
N041.28.28.993 E008.58.54.964
N041.28.38.878 E008.58.48.403
N041.28.53.692 E008.58.45.147
N041.28.53.716 E008.58.31.976
N041.28.51.272 E008.58.18.799
N041.28.51.307 E008.57.59.043
N041.28.56.259 E008.57.49.176
N041.29.08.609 E008.57.42.619
N041.29.18.486 E008.57.39.348
N041.29.23.443 E008.57.26.188
N041.29.21.011 E008.57.03.133
N041.29.28.429 E008.56.53.270
N041.29.33.393 E008.56.33.524
N041.29.28.473 E008.56.23.635
N041.29.26.032 E008.56.03.874
N041.29.23.587 E008.55.47.406
N041.29.21.124 E008.55.44.109
N041.29.18.673 E008.55.30.935
N041.29.21.157 E008.55.17.769
N041.29.33.494 E008.55.17.791
N041.29.43.368 E008.55.14.517
N041.30.00.644 E008.55.11.255
N041.30.08.045 E008.55.11.268
N041.30.15.459 E008.55.01.403
N041.30.20.408 E008.54.48.239
N041.30.20.430 E008.54.28.481
N041.30.20.450 E008.54.08.722
N041.30.20.466 E008.53.52.257
N041.30.20.476 E008.53.42.378
N041.30.18.024 E008.53.25.910
N041.30.18.035 E008.53.12.738
N041.30.22.977 E008.53.02.866
N041.30.32.846 E008.53.02.879
N041.30.45.172 E008.53.12.776
N041.30.50.101 E008.53.19.370
N041.31.02.441 E008.53.12.801
N041.31.07.385 E008.52.59.634
N041.31.14.793 E008.52.49.763
N041.31.14.806 E008.52.33.295
N041.31.12.348 E008.52.20.118
N041.31.07.423 E008.52.06.938
N041.31.04.969 E008.51.47.174
N041.31.02.508 E008.51.37.291
N041.31.02.517 E008.51.20.824
N041.31.02.525 E008.51.04.356
N041.31.02.534 E008.50.44.595
N041.31.02.539 E008.50.31.421
N041.31.09.942 E008.50.24.841
N041.31.22.272 E008.50.34.732
N041.31.32.136 E008.50.41.328
N041.31.41.997 E008.50.54.513
N041.31.49.391 E008.51.07.696
N041.31.59.252 E008.51.17.588
N041.32.06.651 E008.51.17.595
N041.32.18.987 E008.51.11.019
N041.32.26.386 E008.51.11.026
N041.32.31.328 E008.50.51.264
N041.32.31.336 E008.50.31.497
N041.32.36.274 E008.50.18.322
N041.32.38.745 E008.50.05.146
N041.32.36.286 E008.49.35.492
N041.32.33.822 E008.49.25.606
N041.32.43.689 E008.49.19.023
N041.32.51.091 E008.49.02.552
N041.32.51.092 E008.48.52.667
N041.33.00.958 E008.48.42.787
N041.33.13.290 E008.48.32.906
N041.33.18.223 E008.48.23.022
N041.33.18.224 E008.48.09.841
N041.33.15.757 E008.47.53.363
N041.33.15.756 E008.47.40.181
N041.33.20.688 E008.47.27.000
N041.33.30.551 E008.47.17.114
N041.33.37.949 E008.47.07.227
N041.33.47.812 E008.46.57.340
N041.33.57.677 E008.47.03.932
N041.34.05.077 E008.47.13.821
N041.34.12.477 E008.47.33.599
N041.34.14.944 E008.47.43.487
N041.34.24.808 E008.47.50.082
N041.34.34.672 E008.47.46.787
N041.34.39.603 E008.47.33.602
N041.34.51.932 E008.47.30.307
N041.35.01.796 E008.47.27.011
N041.35.01.794 E008.47.10.526
N041.35.06.725 E008.47.00.635
N041.35.14.122 E008.46.54.041
N041.35.16.585 E008.46.40.852
N041.35.23.981 E008.46.30.959
N041.35.33.847 E008.46.44.147
N041.35.43.711 E008.46.50.741
N041.35.51.111 E008.47.03.931
N041.36.03.441 E008.47.13.823
N041.36.13.304 E008.47.13.823
N041.36.20.700 E008.47.07.227
N041.36.33.029 E008.47.07.226
N041.36.42.893 E008.47.13.822
N041.36.52.756 E008.47.17.120
N041.37.05.085 E008.47.27.015
N041.37.14.947 E008.47.33.613
N041.37.22.345 E008.47.40.210
N041.37.29.741 E008.47.50.107
N041.37.44.535 E008.47.50.108
N041.37.54.398 E008.47.36.912
N041.38.04.261 E008.47.43.511
N041.38.11.657 E008.47.56.709
N041.38.16.587 E008.48.13.206
N041.38.16.586 E008.48.26.404
N041.38.11.653 E008.48.36.300
N041.38.01.789 E008.48.46.195
N041.37.51.926 E008.48.49.491
N041.37.46.992 E008.48.59.386
N041.37.46.989 E008.49.15.880
N041.37.54.382 E008.49.29.079
N041.38.04.242 E008.49.38.980
N041.38.14.103 E008.49.42.285
N041.38.21.498 E008.49.48.887
N041.38.28.887 E008.50.08.688
N041.38.28.885 E008.50.15.286
N041.38.31.344 E008.50.31.784
N041.38.36.267 E008.50.48.285
N041.38.41.192 E008.51.01.487
N041.38.43.651 E008.51.14.687
N041.38.48.574 E008.51.27.889
N041.38.51.032 E008.51.41.090
N041.38.58.421 E008.51.54.297
N041.38.58.412 E008.52.07.495
N041.38.58.404 E008.52.20.694
N041.39.03.325 E008.52.33.899
N041.39.15.646 E008.52.43.814
N041.39.23.040 E008.52.47.124
N041.39.32.900 E008.52.50.438
N041.39.45.229 E008.52.50.455
N041.39.55.089 E008.52.53.769
N041.40.02.478 E008.53.03.681
N041.40.07.399 E008.53.16.890
N041.40.14.788 E008.53.26.804
N041.40.24.634 E008.53.46.625
N041.40.29.550 E008.54.03.138
N041.40.32.000 E008.54.19.648
N041.40.34.457 E008.54.29.556
N041.40.36.909 E008.54.42.765
N041.40.41.831 E008.54.52.678
N041.40.51.694 E008.54.52.698
N041.41.01.561 E008.54.49.415
N041.40.59.115 E008.54.29.601
N041.40.59.137 E008.54.06.490
N041.40.59.149 E008.53.53.284
N041.41.09.021 E008.53.43.396
N041.41.18.887 E008.53.40.110
N041.41.18.901 E008.53.23.601
N041.41.21.380 E008.53.07.096
N041.41.21.393 E008.52.50.587
N041.41.26.346 E008.52.20.877
N041.41.26.357 E008.52.04.368
N041.41.26.364 E008.51.54.462
N041.41.31.306 E008.51.37.958
N041.41.38.711 E008.51.24.757
N041.41.46.115 E008.51.14.857
N041.41.48.596 E008.50.45.139
N041.41.48.598 E008.50.41.837
N041.41.51.070 E008.50.28.630
N041.42.05.870 E008.50.18.732
N041.42.10.804 E008.50.15.433
N041.42.13.281 E008.49.49.012
N041.42.15.754 E008.49.29.197
N041.42.18.224 E008.49.15.986
N041.42.30.559 E008.49.02.778
N041.42.35.493 E008.48.56.173
N041.42.35.497 E008.48.39.657
N041.42.28.101 E008.48.26.443
N041.42.20.704 E008.48.16.533
N041.42.10.840 E008.48.13.230
N041.42.00.976 E008.48.09.926
N041.41.56.046 E008.47.56.715
N041.41.48.650 E008.47.40.202
N041.41.46.184 E008.47.26.992
N041.41.46.185 E008.47.07.176
N041.41.48.652 E008.46.57.267
N041.41.58.516 E008.46.57.263
N041.42.08.381 E008.46.57.260
N041.42.18.246 E008.46.50.650
N041.42.28.111 E008.46.44.040
N041.42.33.043 E008.46.27.520
N041.42.35.508 E008.46.17.607
N041.42.40.440 E008.46.04.389
N041.42.52.772 E008.46.04.382
N041.43.02.638 E008.46.04.376
N041.43.12.504 E008.46.07.674
N041.43.19.904 E008.46.14.278
