01CLA N047.44.47.360 E004.53.59.708
01CLM N047.36.32.951 E004.42.46.390
18LOC N045.41.01.990 E005.05.36.830
18VOR N043.42.18.832 E001.17.08.581
18VOR N050.33.25.481 E003.02.33.731
19DME N045.01.26.720 E001.32.00.578
19DME N048.12.52.549 E007.24.45.191
19VOR N043.42.20.099 E001.16.57.230
1SB15 N047.47.03.800 E007.14.25.199
1SB33 N047.17.25.400 E007.36.04.500
20DM2 N048.45.48.571 E002.09.27.349
20DME N048.44.27.640 E002.03.46.732
20LOC N045.40.51.179 E005.05.54.420
20LOC N047.33.56.880 W000.15.31.820
21VOR N043.33.28.001 E004.00.49.180
22LOC N045.02.42.331 E003.47.25.620
24LOC N048.32.39.080 W004.04.53.659
24LOC N048.58.21.050 E002.30.20.520
25VOR N043.28.15.532 W001.27.12.128
25VOR N047.18.42.869 E005.05.15.900
25VOR N047.40.13.440 E007.28.22.771
27LO2 N043.36.55.530 E007.09.46.462
27LOC N048.37.15.560 E004.57.09.641
27TAC N048.32.24.022 E005.56.07.620
28NTS N047.34.05.959 W001.56.49.492
29DME N042.42.31.432 E002.54.00.839
2SB33 N047.25.38.302 E007.30.25.700
30DM2 N048.44.26.520 E007.08.53.498
30DM3 N048.47.44.531 E007.16.27.361
30DME N043.36.44.759 E007.09.27.209
30DME N048.47.50.690 E007.16.21.770
30DME N049.25.09.188 E002.11.31.672
30LOC N043.34.40.321 E001.25.11.741
30LOC N043.37.05.891 E007.09.28.811
30LOC N045.00.59.411 E001.33.25.240
30LOC N048.47.48.930 E007.16.22.760
30TAC N044.10.50.711 E004.49.37.870
30TAC N048.14.40.610 W004.29.49.672
30VO2 N048.05.04.801 W001.48.45.320
30VO2 N048.32.13.852 W002.04.00.070
30VO2 N048.41.04.470 E002.21.16.290
30VOR N043.36.17.410 E003.54.58.871
30VOR N047.11.56.879 W001.33.57.020
30VOR N048.03.50.400 W001.40.03.101
30VOR N048.38.08.941 W002.05.20.731
32VOR N042.42.13.702 E002.54.07.942
33DME N047.28.34.259 E000.44.49.780
33LOC N048.42.38.711 E002.18.42.368
33TAC N047.28.35.350 E000.44.36.859
33VOR N048.47.29.540 E004.03.55.051
34LOC N047.58.16.151 W004.04.33.690
34VOR N044.50.59.881 W000.47.37.961
34VOR N045.47.43.181 E003.16.20.618
35LO2 N043.20.32.370 W000.20.46.612
35LOC N043.20.31.178 W000.20.47.332
35VOR N048.03.47.491 E001.18.01.170
36LOC N047.40.09.710 E007.28.25.720
37VO2 N045.41.02.249 E005.05.42.659
37VOR N045.48.21.758 E005.04.25.540
38LOC N044.21.44.759 E002.33.39.600
39LOC N045.21.47.491 E005.13.12.421
39LOC N049.38.10.669 W001.21.31.061
39VOR N045.40.50.840 E005.05.55.180
39VOR N047.12.21.049 E005.06.02.369
3SB33 N047.38.21.401 E007.21.37.300
40DM2 N049.02.30.908 E001.57.30.740
40DM2 N049.29.35.480 E002.01.25.349
40DME N043.19.08.828 E003.26.14.809
40DME N045.55.27.419 E001.14.27.049
40DME N047.05.17.030 E002.43.01.279
40DME N049.07.47.978 E002.06.35.071
40DME N049.09.16.510 E005.38.39.278
40DME N049.24.35.629 E002.12.47.812
40LO2 N043.41.42.040 E001.17.34.300
40LO2 N044.53.00.600 W000.38.12.631
40LO2 N048.47.30.440 E004.03.53.431
40LO3 N043.34.04.001 E001.25.31.192
40LOC N043.15.05.620 E000.01.50.261
40LOC N043.32.10.680 E004.03.16.402
40LOC N043.41.18.571 E001.18.15.570
40LOC N044.32.30.322 E003.27.07.459
40LOC N044.48.26.219 W000.36.48.848
40LOC N045.47.55.831 E005.05.02.670
40LOC N047.34.15.161 W000.12.36.680
40LOC N048.00.35.269 E001.50.52.580
40LOC N048.45.38.020 E004.18.10.508
40LOC N050.34.04.649 E001.32.22.650
40TA2 N043.34.50.430 E004.52.27.541
40TA2 N047.05.10.349 E002.43.05.812
40TA2 N047.49.29.399 W003.24.38.131
40TAC N043.27.52.870 E004.57.45.698
40TAC N044.29.27.668 W001.12.37.462
40TAC N047.01.14.851 E002.32.56.681
40TAC N047.44.23.060 W003.32.04.409
40THR N048.41.23.219 E002.13.54.491
40VOR N042.30.34.661 E009.30.06.991
41LOC N046.21.03.190 E004.04.15.679
41LOC N047.46.57.968 W003.20.22.769
42LOC N045.01.01.672 E003.48.44.330
43LOC N045.38.32.572 E005.05.54.982
43VOR N043.32.10.370 E004.03.15.869
43VOR N048.30.57.611 W002.03.35.701
44DME N047.29.38.018 E000.45.14.929
44TAC N047.29.40.499 E000.44.52.102
45DME N048.25.54.750 W004.30.54.929
45LOC N045.38.21.761 E005.06.12.611
45LOC N045.43.11.420 E000.19.56.521
46THR N049.03.25.268 E006.19.15.218
47DME N049.03.22.129 E006.19.12.569
48LOC N043.35.22.672 E007.07.49.231
49VOR N050.34.53.198 E003.12.48.550
50DME N043.23.11.321 E006.29.43.642
